Stop,Business Name,Location,City,Notes,Date,Facility Type,Follow-up Needed,Lead,Client
1,,1630 E Cheyenne Mountain Blvd,Colorado Springs,Cookie stop,2025-03-06 00:00:00,,,,
2,Colorado Springs Orthopaedic Group,1259 Lake Plaza Dr Unit 100,Colorado Springs,,2025-03-06 00:00:00,,,,
3,Summit Home Health Care,1160 Lake Plaza Dr Ste 255,Colorado Springs,,2025-03-06 00:00:00,,,,
4,Pikes Peak Hospice & Palliative Care,2550 Tenderfoot Hill St,Colorado Springs,,2025-03-06 00:00:00,,,,
5,Mountain View Post Acute,835 Tenderfoot Hill Rd,Colorado Springs,,2025-03-06 00:00:00,,,,
6,Professional Home Health Care,1140 S Eighth St,Colorado Springs,,2025-03-06 00:00:00,,,,
7,The Independence Center,729 S Tejon St,Colorado Springs,Super grateful and excited to read about / reach out for our services,2025-03-06 00:00:00,,,,
8,American Legion Post 5,15 E Platte Ave,Colorado Springs,No answer again.,2025-03-06 00:00:00,,,,
9,UCHealth Memorial Hospital Central,1400 E Boulder St,Colorado Springs,,2025-03-06 00:00:00,,,,
10,Life Care Center of Colorado Springs,2490 International Cir,Colorado Springs,Natasha at front desk was super helpful with connecting me with the case managers,2025-03-06 00:00:00,,,,
11,Advanced Health Care of Colorado Springs,55 S Parkside Dr,Colorado Springs,A bit busy again but was able to leave a good impression still,2025-03-06 00:00:00,,,,
12,Flagship Health,3210 N Academy Blvd Ste 1,Colorado Springs,Elka at the front desk was super interested...,2025-03-06 00:00:00,,,,
13,,1625 S Murray Blvd,Colorado Springs,Great opportunity to network more! 1200-1400 attendees he said,2025-03-06 00:00:00,,,,
14,Fountain Valley Senior Center,5725 Southmoor Dr,Fountain,"Not interested at all, quite rude...",2025-03-06 00:00:00,,,,
15,American Legion Post 38,6685 Southmoor Dr,Fountain,,2025-03-06 00:00:00,,,,
16,UCHealth Endocrinology Clinic - Grandview,5818 N Nevada Ave Ste 225,Colorado Springs,,2025-03-07 00:00:00,,,,
17,Maxim Healthcare Services,7150 Campus Dr Ste 160,Colorado Springs,Was in meeting again but definitely interested in connecting more,2025-03-07 00:00:00,,,,
18,,5225 N Academy Blvd #106,Colorado Springs,Passed on to supervisor. They don't let ya in the door,2025-03-07 00:00:00,,,,
19,Benefit Health Care,5426 N Academy Blvd Ste 200,Colorado Springs,Potential other client in same building,2025-03-07 00:00:00,,,,
20,,5373 N Union Blvd,Colorado Springs,"Closed in co springs, removing off route",2025-03-07 00:00:00,,,,
21,Gentiva Hospice,6270 Lehman Dr #150,Colorado Springs,Was able to meet patient manager and told her we would be in touch,2025-03-07 00:00:00,,,,
22,Better Healthcare,6208 Lehman Dr Unit 201,Colorado Springs,,2025-03-07 00:00:00,,,,
23,Bristol Hospice,7660 Goddard St #100,Colorado Springs,,2025-03-07 00:00:00,,,,
24,,1155 Kelly Johnson Blvd Ste 205,Colorado Springs,No longer at this location. Removing from route,2025-03-07 00:00:00,,,,
25,Corporate Pointe Medical Center,1975 Research Pkwy #300,Colorado Springs,,2025-03-07 00:00:00,,,,
26,Colorado Springs Orthopaedic Group,4110 Briargate Pkwy,Colorado Springs,Ortho group sent me to their surgery floor and said we'd have better luck connecting with someone who does more of that stuff,2025-03-07 00:00:00,,,,
27,UCHealth Memorial Hospital North,4050 Briargate Pkwy,Colorado Springs,,2025-03-07 00:00:00,,,,
28,The Center at Cordera,9208 Grand Cordera Pkwy,Colorado Springs,Got to meet admissions coordinator Brenna and she said she will pass it onto case managers. They may be interested in the respite care,2025-03-07 00:00:00,,,,
29,Penrose St. Francis Hospital,6001 E Woodmen Rd,Colorado Springs,Lead case manager Gail Abeyta,2025-03-07 00:00:00,,,,
30,Voyager Home Health Care,2233 Academy Pl Ste 105,Colorado Springs,,2025-03-18 00:00:00,,,,
31,CenterCare Home Health,1155 Kelly Johnson Blvd Ste 205,Colorado Springs,,2025-03-18 00:00:00,,,,
32,CenterCare Home Health,1155 Kelly Johnson Blvd Ste 205,Colorado Springs,Leslie is who spoke with Jason,2025-03-18 00:00:00,,,,
33,Gentiva Hospice,6270 Lehman Dr #150,Colorado Springs,,2025-03-18 00:00:00,,,,
34,Better Healthcare,6208 Lehman Dr Unit 201,Colorado Springs,,2025-03-18 00:00:00,,,,
35,,5426 N Academy Blvd #200,Colorado Springs,,2025-03-18 00:00:00,,,,
36,Peak Vista Community Health Centers,3225 Austin Bluffs Pkwy Ste 200,Colorado Springs,3204 in same building as mountain ridge now,2025-03-18 00:00:00,,,,
37,American Legion Post 209,3613 Jeannine Dr,Colorado Springs,,2025-03-18 00:00:00,,,,
38,Mountain Ridge Hospice,3204 N Academy Blvd Unit 110,Colorado Springs,,2025-03-18 00:00:00,,,,
39,,5850 Championship View,Colorado Springs,,2025-03-18 00:00:00,,,,
40,Penrose St. Francis Hospital,6001 E Woodmen Rd,Colorado Springs,Tracy is who we want to speak with here,2025-03-18 00:00:00,,,,
41,The Center at Cordera,9208 Grand Cordera Pkwy,Colorado Springs,,2025-03-18 00:00:00,,,,
42,Colorado Springs Orthopaedic Group,4110 Briargate Pkwy,Colorado Springs,,2025-03-18 00:00:00,,,,
43,UCHealth Memorial Hospital North,4050 Briargate Pkwy,Colorado Springs,,2025-03-18 00:00:00,,,,
44,Corporate Pointe Medical Center,1975 Research Pkwy #300,Colorado Springs,,2025-03-18 00:00:00,,,,
45,Bristol Hospice,7660 Goddard St #100,Colorado Springs,,2025-03-18 00:00:00,,,,
46,Maxim Healthcare Services,7150 Campus Dr Ste 160,Colorado Springs,,2025-03-18 00:00:00,,,,
47,,5623 Pulpit Peak View,Colorado Springs,,2025-03-18 00:00:00,,,,
48,FirstLight Home Care,910 Pinon Ranch View Ste 211,Colorado Springs,Recommended us to one of their clients last week.,2025-03-18 00:00:00,,,,
49,Optimal Home Care,1115 Elkton Dr,Colorado Springs,,2025-03-18 00:00:00,,,,
50,,4775 Centennial Blvd Unit 160,Colorado Springs,,2025-03-18 00:00:00,,,,
51,,3810 Bloomington St,Colorado Springs,,2025-03-18 00:00:00,,,,
52,,3830 Bloomington St,Colorado Springs,,2025-03-20 00:00:00,,,,
53,Flagship Health,3210 N Academy Blvd Ste 1,Colorado Springs,Multiple questions for Jason please email,2025-03-20 00:00:00,,,,
54,,3027 N Circle Dr,Colorado Springs,St. Francis primary and urgent care - common spirit,2025-03-20 00:00:00,,,,
55,Humana Neighborhood Center,1120 N Circle Dr Ste 7,Colorado Springs,Moved. Delete,2025-03-20 00:00:00,,,,
56,Life Care Center of Colorado Springs,2490 International Cir,Colorado Springs,Come back in the mornings before lunch and meetings,2025-03-20 00:00:00,,,,
57,Advanced Health Care of Colorado Springs,55 S Parkside Dr,Colorado Springs,Spoke with Ryan the administrative facilitator,2025-03-20 00:00:00,,,,
58,InnovAge Colorado PACE – Central,1414 N Hancock Ave,Colorado Springs,,2025-03-20 00:00:00,,,,
59,Envida,1514 N Hancock Ave,Colorado Springs,,2025-03-20 00:00:00,,,,
60,Silver Key Senior Services,207 N Nevada Ave,Colorado Springs,At the YMCA for now until building reconstruction is done,2025-03-20 00:00:00,,,,
61,UCHealth – Memorial Administrative Offices,2222 N Nevada Ave,Colorado Springs,Speak with Sheila; they're moving back after Labor Day,2025-03-20 00:00:00,,,,
62,Westside Cares,110 W Van Buren St,Colorado Springs,,2025-03-20 00:00:00,,,,
63,,,,,2025-03-20 00:00:00,,,,
64,,3490 Centennial Blvd,Colorado Springs,Come back mid morning on Mondays. Avoid Tues/Thurs 2-3pm,2025-03-20 00:00:00,,,,
65,PFC Floyd K Lindstrom VA Outpatient Clinic,3141 Centennial Blvd,Colorado Springs,,2025-03-20 00:00:00,,,,
66,Professional Home Health Care,1140 S Eighth St,Colorado Springs,,2025-03-20 00:00:00,,,,
67,The Independence Center,729 S Tejon St,Colorado Springs,Cameron and Tyler are the referral specialists,2025-03-20 00:00:00,,,,
68,UCHealth Memorial Hospital Central,1400 E Boulder St,Colorado Springs,Dr. Nimptsch-Kossek floats to other locations,2025-03-20 00:00:00,,,,
69,Pikes Peak Hospice & Palliative Care,2550 Tenderfoot Hill St,Colorado Springs,Daniel Smead is the director to talk to,2025-03-20 00:00:00,,,,
70,Mountain View Post Acute,835 Tenderfoot Hill Rd,Colorado Springs,Larissa is at front desk,2025-03-20 00:00:00,,,,
71,Summit Home Health Care,1160 Lake Plaza Dr Ste 255,Colorado Springs,,2025-03-20 00:00:00,,,,
72,Colorado Springs Orthopaedic Group,1259 Lake Plaza Dr Unit 100,Colorado Springs,,2025-03-20 00:00:00,,,,
73,Fountain Valley Senior Center,5725 Southmoor Dr,Fountain,,2025-03-20 00:00:00,,,,
74,American Legion Post 38,6685 Southmoor Dr,Fountain,,2025-03-20 00:00:00,,,,
75,,1605 S Murray Blvd,Colorado Springs,,2025-03-26 00:00:00,,,,
76,Life Care Center of Colorado Springs,2490 International Cir,Colorado Springs,,2025-03-26 00:00:00,,,,
77,Advanced Health Care of Colorado Springs,55 S Parkside Dr,Colorado Springs,,2025-03-26 00:00:00,,,,
78,UCHealth Memorial Hospital Central,1400 E Boulder St,Colorado Springs,,2025-03-26 00:00:00,,,,
79,Silver Key Senior Services,207 N Nevada Ave,Colorado Springs,,2025-03-26 00:00:00,,,,
80,InnovAge Colorado PACE – Central,1414 N Hancock Ave,Colorado Springs,,2025-03-26 00:00:00,,,,
81,,175 S Union Blvd,Colorado Springs,Still can't find Dr. Nimptsch Kossek,2025-03-26 00:00:00,,,,
82,Humana Neighborhood Center,1120 N Circle Dr Ste 7,Colorado Springs,Delete!,2025-03-26 00:00:00,,,,
83,Flagship Health,3210 N Academy Blvd Ste 1,Colorado Springs,,2025-03-26 00:00:00,,,,
84,,3027 N Circle Dr,Colorado Springs,Common spirit primary care,2025-03-26 00:00:00,,,,
85,UCHealth – Memorial Administrative Offices,2222 N Nevada Ave,Colorado Springs,Orthopedics 10th floor,2025-03-26 00:00:00,,,,
86,Westside Cares,110 W Van Buren St,Colorado Springs,,2025-03-26 00:00:00,,,,
87,,3490 Centennial Blvd,Colorado Springs,,2025-03-26 00:00:00,,,,
88,The Independence Center,729 S Tejon St,Colorado Springs,Closes at 4:30 Mon–Thu,2025-03-26 00:00:00,,,,
89,Pikes Peak Hospice & Palliative Care,2550 Tenderfoot Hill St,Colorado Springs,,2025-03-26 00:00:00,,,,
90,Mountain View Post Acute,835 Tenderfoot Hill Rd,Colorado Springs,,2025-03-26 00:00:00,,,,
91,Summit Home Health Care,1160 Lake Plaza Dr Ste 255,Colorado Springs,,2025-03-26 00:00:00,,,,
92,Colorado Springs Orthopaedic Group,1259 Lake Plaza Dr Unit 100,Colorado Springs,,2025-03-26 00:00:00,,,,
93,American Legion Post 38,6685 Southmoor Dr,Fountain,,2025-03-26 00:00:00,,,,
94,,2910 S Academy Blvd,Colorado Springs,,2025-03-27 00:00:00,,,,
95,Fountain Valley Senior Center,5725 Southmoor Dr,Fountain,,2025-03-27 00:00:00,,,,
96,PFC Floyd K Lindstrom VA Outpatient Clinic,3141 Centennial Blvd,Colorado Springs,,2025-03-27 00:00:00,,,,
97,Voyager Home Health Care,2233 Academy Pl Ste 105,Colorado Springs,,2025-03-27 00:00:00,,,,
98,Peak Vista Community Health Centers,3225 Austin Bluffs Pkwy Ste 200,Colorado Springs,3204 in same building as mountain ridge now,2025-03-27 00:00:00,,,,
99,American Legion Post 209,3613 Jeannine Dr,Colorado Springs,,2025-03-27 00:00:00,,,,
100,,5850 Championship View,Colorado Springs,,2025-03-27 00:00:00,,,,
101,Penrose St. Francis Hospital,6001 E Woodmen Rd,Colorado Springs,,2025-03-27 00:00:00,,,,
102,Flagship Health,3210 N Academy Blvd Ste 1,Colorado Springs,,2025-03-27 00:00:00,,,,
103,The Center at Cordera,9208 Grand Cordera Pkwy,Colorado Springs,,2025-03-27 00:00:00,,,,
104,Colorado Springs Orthopaedic Group,4110 Briargate Pkwy,Colorado Springs,,2025-03-27 00:00:00,,,,
105,UCHealth Memorial Hospital North,4050 Briargate Pkwy,Colorado Springs,,2025-03-27 00:00:00,,,,
106,Corporate Pointe Medical Center,1975 Research Pkwy #300,Colorado Springs,,2025-03-27 00:00:00,,,,
107,CenterCare Home Health,1155 Kelly Johnson Blvd Ste 205,Colorado Springs,Leslie is who spoke with Jason,2025-03-27 00:00:00,,,,
108,CenterCare Home Health,1155 Kelly Johnson Blvd Ste 205,Colorado Springs,,2025-03-27 00:00:00,,,,
109,Flagship Health,3210 N Academy Blvd Ste 1,Colorado Springs,,2025-03-31 00:00:00,,,,
110,,3027 N Circle Dr,Colorado Springs,,2025-03-31 00:00:00,,,,
111,Life Care Center of Colorado Springs,2490 International Cir,Colorado Springs,,2025-03-31 00:00:00,,,,
112,Advanced Health Care of Colorado Springs,55 S Parkside Dr,Colorado Springs,,2025-03-31 00:00:00,,,,
113,UCHealth Memorial Hospital Central,1400 E Boulder St,Colorado Springs,,2025-03-31 00:00:00,,,,
114,InnovAge Colorado PACE – Central,1414 N Hancock Ave,Colorado Springs,,2025-03-31 00:00:00,,,,
115,Silver Key Senior Services,207 N Nevada Ave,Colorado Springs,,2025-03-31 00:00:00,,,,
116,UCHealth – Memorial Administrative Offices,2222 N Nevada Ave,Colorado Springs,,2025-03-31 00:00:00,,,,
117,Westside Cares,110 W Van Buren St,Colorado Springs,,2025-03-31 00:00:00,,,,
118,,3490 Centennial Blvd,Colorado Springs,,2025-03-31 00:00:00,,,,
119,PFC Floyd K Lindstrom VA Outpatient Clinic,3141 Centennial Blvd,Colorado Springs,,2025-03-31 00:00:00,,,,
120,Professional Home Health Care,1140 S Eighth St,Colorado Springs,,2025-03-31 00:00:00,,,,
121,The Independence Center,729 S Tejon St,Colorado Springs,,2025-03-31 00:00:00,,,,
122,UCHealth Memorial Hospital Central,1400 E Boulder St,Colorado Springs,,2025-03-31 00:00:00,,,,
123,Pikes Peak Hospice & Palliative Care,2550 Tenderfoot Hill St,Colorado Springs,,2025-03-31 00:00:00,,,,
124,Mountain View Post Acute,835 Tenderfoot Hill Rd,Colorado Springs,,2025-03-31 00:00:00,,,,
125,Summit Home Health Care,1160 Lake Plaza Dr Ste 255,Colorado Springs,,2025-03-31 00:00:00,,,,
126,Colorado Springs Orthopaedic Group,1259 Lake Plaza Dr Unit 100,Colorado Springs,,2025-03-31 00:00:00,,,,
127,Fountain Valley Senior Center,5725 Southmoor Dr,Fountain,,2025-03-31 00:00:00,,,,
128,,1605 S Murray Blvd,Colorado Springs,,2025-03-31 00:00:00,,,,
129,American Legion Post 38,6685 Southmoor Dr,Fountain,,2025-03-31 00:00:00,,,,
130,,2715 Monica Dr W,Colorado Springs,,2025-03-31 00:00:00,,,,
131,VA Community Living Center,2150 Southgate Rd,Colorado Springs,,2025-04-03 00:00:00,,,,
132,PFC Floyd K Lindstrom VA Outpatient Clinic,3141 Centennial Blvd,Colorado Springs,,2025-04-03 00:00:00,,,,
133,Voyager Home Health Care,2233 Academy Pl Ste 105,Colorado Springs,,2025-04-03 00:00:00,,,,
134,American Legion Post 209,3613 Jeannine Dr,Colorado Springs,,2025-04-03 00:00:00,,,,
135,,5850 Championship View,Colorado Springs,,2025-04-03 00:00:00,,,,
136,Penrose St. Francis Hospital,6001 E Woodmen Rd,Colorado Springs,,2025-04-03 00:00:00,,,,
137,The Center at Cordera,9208 Grand Cordera Pkwy,Colorado Springs,,2025-04-03 00:00:00,,,,
138,Colorado Springs Orthopaedic Group,4110 Briargate Pkwy,Colorado Springs,,2025-04-03 00:00:00,,,,
139,UCHealth Memorial Hospital North,4050 Briargate Pkwy,Colorado Springs,,2025-04-03 00:00:00,,,,
140,Corporate Pointe Medical Center,1975 Research Pkwy #300,Colorado Springs,,2025-04-03 00:00:00,,,,
141,CenterCare Home Health,1155 Kelly Johnson Blvd Ste 205,Colorado Springs,Leslie is who spoke with Jason,2025-04-03 00:00:00,,,,
142,Bristol Hospice,7660 Goddard St #100,Colorado Springs,,2025-04-03 00:00:00,,,,
143,,5426 N Academy Blvd #200,Colorado Springs,,2025-04-03 00:00:00,,,,
144,Gentiva Hospice,6270 Lehman Dr #150,Colorado Springs,,2025-04-03 00:00:00,,,,
145,Better Healthcare,6208 Lehman Dr Unit 201,Colorado Springs,,2025-04-03 00:00:00,,,,
146,Maxim Healthcare Services,7150 Campus Dr Ste 160,Colorado Springs,,2025-04-03 00:00:00,,,,
147,,5623 Pulpit Peak View,Colorado Springs,,2025-04-03 00:00:00,,,,
148,FirstLight Home Care,910 Pinon Ranch View Ste 211,Colorado Springs,,2025-04-03 00:00:00,,,,
149,Optimal Home Care,1115 Elkton Dr,Colorado Springs,,2025-04-03 00:00:00,,,,
150,The Independence Center,729 S Tejon St,Colorado Springs,,2025-04-03 00:00:00,,,,
151,Mountain Ridge Hospice & Complete Home Health Care,3204 N Academy Blvd,Colorado Springs,,2025-04-03 00:00:00,,,,
152,VA Community Living Center,2150 Southgate Rd,Colorado Springs,,2025-04-07 00:00:00,,,,
153,PFC Floyd K Lindstrom VA Outpatient Clinic,3141 Centennial Blvd,Colorado Springs,,2025-04-07 00:00:00,,,,
154,Voyager Home Health Care,2233 Academy Pl Ste 105,Colorado Springs,,2025-04-07 00:00:00,,,,
155,American Legion Post 209,3613 Jeannine Dr,Colorado Springs,,2025-04-07 00:00:00,,,,
156,,5850 Championship View,Colorado Springs,,2025-04-07 00:00:00,,,,
157,Penrose St. Francis Hospital,6001 E Woodmen Rd,Colorado Springs,,2025-04-07 00:00:00,,,,
158,The Center at Cordera,9208 Grand Cordera Pkwy,Colorado Springs,,2025-04-07 00:00:00,,,,
159,Colorado Springs Orthopaedic Group,4110 Briargate Pkwy,Colorado Springs,,2025-04-07 00:00:00,,,,
160,UCHealth Memorial Hospital North,4050 Briargate Pkwy,Colorado Springs,,2025-04-07 00:00:00,,,,
161,Corporate Pointe Medical Center,1975 Research Pkwy #300,Colorado Springs,,2025-04-07 00:00:00,,,,
162,CenterCare Home Health,1155 Kelly Johnson Blvd Ste 205,Colorado Springs,Leslie is who spoke with Jason,2025-04-07 00:00:00,,,,
163,,8045 N Academy Blvd,Colorado Springs,,2025-04-07 00:00:00,,,,
164,Bristol Hospice,7660 Goddard St #100,Colorado Springs,,2025-04-07 00:00:00,,,,
165,Maxim Healthcare Services,7150 Campus Dr Ste 160,Colorado Springs,,2025-04-07 00:00:00,,,,
166,Gentiva Hospice,6270 Lehman Dr #150,Colorado Springs,,2025-04-07 00:00:00,,,,
167,Better Healthcare,6208 Lehman Dr Unit 201,Colorado Springs,,2025-04-07 00:00:00,,,,
168,,5426 N Academy Blvd #200,Colorado Springs,,2025-04-07 00:00:00,,,,
169,,5225 N Academy Blvd #106,Colorado Springs,,2025-04-07 00:00:00,,,,
170,Mountain Ridge Hospice & Complete Home Health Care,3204 N Academy Blvd,Colorado Springs,,2025-04-07 00:00:00,,,,
171,UCHealth Endocrinology Clinic - Grandview,5818 N Nevada Ave Ste 225,Colorado Springs,,2025-04-07 00:00:00,,,,
172,,5623 Pulpit Peak View,Colorado Springs,,2025-04-07 00:00:00,,,,
173,FirstLight Home Care,910 Pinon Ranch View Ste 211,Colorado Springs,,2025-04-07 00:00:00,,,,
174,Optimal Home Care,1115 Elkton Dr,Colorado Springs,,2025-04-07 00:00:00,,,,
175,,4775 Centennial Blvd Unit 160,Colorado Springs,,2025-04-07 00:00:00,,,,
176,The Independence Center,729 S Tejon St,Colorado Springs,,2025-04-07 00:00:00,,,,
177,Advanced Health Care of Colorado Springs,55 S Parkside Dr,Colorado Springs,,2025-04-07 00:00:00,,,,
178,Life Care Center of Colorado Springs,2490 International Cir,Colorado Springs,,2025-04-07 00:00:00,,,,
179,,325 S Parkside Dr,Colorado Springs,,2025-04-07 00:00:00,,,,
180,VA Community Living Center,2150 Southgate Rd,Colorado Springs,,2025-04-09 00:00:00,,,,
181,,1877 S Nevada Ave,Colorado Springs,,2025-04-09 00:00:00,,,,
182,,3027 N Circle Dr,Colorado Springs,,2025-04-09 00:00:00,,,,
183,UCHealth Memorial Hospital Central,1400 E Boulder St,Colorado Springs,,2025-04-09 00:00:00,,,,
184,Silver Key Senior Services,207 N Nevada Ave,Colorado Springs,,2025-04-09 00:00:00,,,,
185,UCHealth – Memorial Administrative Offices,2222 N Nevada Ave,Colorado Springs,,2025-04-09 00:00:00,,,,
186,Westside Cares,110 W Van Buren St,Colorado Springs,,2025-04-09 00:00:00,,,,
187,,3490 Centennial Blvd,Colorado Springs,,2025-04-09 00:00:00,,,,
