Stop,Business Name,Location,City,Notes,Date,Facility Type,Follow-up Needed,Lead,Client
373,Corporate Pointe Medical Center,1975 Research Pkwy #300,Colorado Springs,Cookie stop,2025-05-19 00:00:00,,,,
374,Bristol Hospice,7660 Goddard St #100,Colorado Springs,Cookie stop,2025-05-19 00:00:00,,,,
375,NurseCore Colorado Springs,5426 N Academy Blvd Unit 110,Colorado Springs,Cookie stop,2025-05-19 00:00:00,,,,
376,Benefit Health Care,5426 N Academy Blvd #200,Colorado Springs,Cookie stop,2025-05-19 00:00:00,,,,
377,Suncrest Hospice,5225 N Academy Blvd #106,Colorado Springs,Cookie stop,2025-05-19 00:00:00,,,,
378,Gentiva Hospice,6270 Lehman Dr #150,Colorado Springs,Cookie stop,2025-05-19 00:00:00,,,,
379,Better Healthcare,6208 Lehman Dr Unit 201,Colorado Springs,Cookie stop,2025-05-19 00:00:00,,,,
380,Humana MarketPOINT,7150 Campus Dr Ste 160,Colorado Springs,Cookie stop,2025-05-19 00:00:00,,,,
381,All Care Home Health,5818 N Nevada Ave Ste 225,Colorado Springs,Cookie stop,2025-05-19 00:00:00,,,,
382,UCHealth Grandview Therapy Center,5623 Pulpit Peak View,Colorado Springs,Cookie stop,2025-05-19 00:00:00,,,,
383,FirstLight Home Care,910 Pinon Ranch View Ste 100,Colorado Springs,Cookie stop,2025-05-19 00:00:00,,,,
384,,2833 E Fountain Blvd,Colorado Springs,Cookie stop,2025-05-19 00:00:00,,,,
385,UCHealth Emergency Room – North Pueblo,4776 Eagleridge Cir,Pueblo,(assumed from ER at this address),2025-05-22 00:00:00,Hospital,,,,
386,Pueblo West Primary Care,948 E Spaulding Ave,Pueblo,141 S Purcell Blvd Suite 140 Pueblo West Primary Care,2025-05-22 00:00:00,Clinic,,,,
387,[Unknown - Contact Morgan Massman],3676 Parker Blvd,Pueblo,"Will not accept cards, brochures or cookies - Morgan Massman ext 4927",2025-05-22 00:00:00,,No materials accepted,Morgan Massman,,
388,Pueblo Pathology Group,3727 Parker Blvd,Pueblo,(assumed from building occupancy),2025-05-22 00:00:00,Doctor Office,,,,
389,Maxim Healthcare,3691 Parker Blvd,Pueblo,Josh is executive administrator and super helpful,2025-05-22 00:00:00,Healthcare,Great contact,Josh,,
390,Life Care Center of Pueblo,2118 Chatalet Ln,Pueblo,,2025-05-22 00:00:00,Care Center,,,,
391,Pueblo Community Health Center – East Side,2611 Jones Ave,Pueblo,(known CHC clinic),2025-05-22 00:00:00,Clinic,,,,
392,American Legion Post 2,1310 N Chester Ave,Pueblo,,2025-05-22 00:00:00,American Legion,,,,
393,Pueblo Cooperative Care Center,921 W 13th St,Pueblo,Find the right address,2025-05-22 00:00:00,Care Center,Verify location,,,
394,Sangre de Cristo Community Health,400 W 16th St,Pueblo,,2025-05-22 00:00:00,Clinic,,,,
395,St. Mary-Corwin Medical Center (Outpatient),1600 N Grand Ave,Pueblo,,2025-05-22 00:00:00,Hospital,,,,
396,The Oasis Assisted Living,2600 Oakshire Ln,Pueblo,,2025-05-22 00:00:00,Senior Living,,,,
397,Belmont Lodge Health Care Center,1601 Constitution Rd,Pueblo,,2025-05-22 00:00:00,Care Center,,,,
398,Desert Flower Apartments – Senior Living,945 Desertflower Blvd,Pueblo,,2025-05-22 00:00:00,Senior Living,,,,
399,Ascension Living Center @ FCP,724 E Fourth St,Pueblo,,2025-05-22 00:00:00,Care Center,,,,
400,Springs Recovery Connection,325 S Parkside Dr,Colorado Springs,,2025-05-23,Clinic,,,,
401,,2704 E Fountain Blvd,Colorado Springs,Treat stop only,2025-05-23,,No follow-up,,,
402,Life Care Center of Colorado Springs,2490 International Cir,Colorado Springs,,2025-05-23,Care Center,,,,
403,Advanced Health Care of Colorado Springs,55 S Parkside Dr,Colorado Springs,,2025-05-23,Care Center,,,,
404,Touch of Care Home Health,2420 E Pikes Peak Ave,Colorado Springs,Inferred from registry listings,2025-05-23,Home Health,,,,
405,Flagship Health,"3210 N Academy Blvd, Ste 1",Colorado Springs,,2025-05-23,VA / Clinic,,,,
406,Colorado Springs Orthopaedic Group,4110 Briargate Pkwy,Colorado Springs,,2025-05-23,Orthopedic Clinic,,,,
407,Encompass Health Rehabilitation Hospital,"1155 Kelly Johnson Blvd, Ste 205",Colorado Springs,,2025-05-23,Rehab Hospital,,,,
408,Compassus Hospice,"4775 Centennial Blvd, Unit 160",Colorado Springs,,2025-05-23,Hospice,,,,
409,Brookdale Skyline,3490 Centennial Blvd,Colorado Springs,,2025-05-23,Senior Living,,,,
410,PFC Floyd K Lindstrom VA Outpatient Clinic,3141 Centennial Blvd,Colorado Springs,,2025-05-23,VA Clinic,,,,
411,Westside Cares,110 W Van Buren St,Colorado Springs,,2025-05-23,Social Services,,,,
412,UCHealth – Memorial Admin Offices,2222 N Nevada Ave,Colorado Springs,,2025-05-23,Hospital Admin,,,,
413,InnovAge Colorado PACE – Central,1414 N Hancock Ave,Colorado Springs,,2025-05-23,PACE / Senior Care,,,,
414,UCHealth Memorial Hospital Central,1400 E Boulder St,Colorado Springs,,2025-05-23,Hospital,,,,
415,[Unknown – Front Desk Debbie],1625 S Murray Blvd,Colorado Springs,Debbie is one of receptionists,2025-05-28,Clinic?,,,,
416,[Unknown],6880 Palmer Park Blvd,Colorado Springs,,2025-05-28,,,,
417,Accord Home Health,"2233 Academy Pl, Ste 105",Colorado Springs,Inferred from registry and history,2025-05-28,Home Health,,,,
418,Complete Home Health Care,"3204 N Academy Blvd, Unit 110",Colorado Springs,Shared building with old location,2025-05-28,Home Health,,,,
419,Complete Home Health Care (Old Location),3204 N Academy Blvd,Colorado Springs,Map still references old listing,2025-05-28,Home Health,,,,
420,Flagship Health,"3210 N Academy Blvd, Ste 1",Colorado Springs,,2025-05-28,VA / Clinic,,,,
421,Mountain Ridge Hospice,3613 Jeannine Dr,Colorado Springs,"Closed 5/28, Go back",2025-05-28,Hospice,Go back,,,
422,Life Quality Homes,5850 Championship View,Colorado Springs,Inferred from business registry,2025-05-28,Senior Living,,,,
423,Penrose St. Francis Rehab / UCHealth,6001 E Woodmen Rd,Colorado Springs,,2025-05-28,Hospital,,,,
424,HomeGoods [Not Target Facility],3830 Bloomington St,Colorado Springs,Treat stop only,2025-05-28,,No follow-up,,,
425,The Center at Cordera,9208 Grand Cordera Pkwy,Colorado Springs,,2025-05-28,Care Center,,,,
426,Colorado Springs Orthopaedic Group – Floor 1,4110 Briargate Pkwy,Colorado Springs,Rehab / PT services,2025-05-28,Clinic,,,,
427,Colorado Springs Orthopaedic Group – Floor 3,4110 Briargate Pkwy,Colorado Springs,Admin / specialists,2025-05-28,Clinic,,,,
428,UCHealth – Memorial Hospital North,4050 Briargate Pkwy,Colorado Springs,,2025-05-28,Hospital,,,,
429,Encompass Health Rehab Hospital,"1975 Research Pkwy, #300",Colorado Springs,,2025-05-28,Rehab Hospital,,,,
430,Peak View Behavioral Health,"7660 Goddard St, #100",Colorado Springs,,2025-05-28,Mental Health,,,,
431,Peak Vista Community Health – Admin,"5426 N Academy Blvd, #200",Colorado Springs,,2025-05-28,Clinic / Admin,,,,
432,Peak Vista Community Health – Front Entrance,"5426 N Academy Blvd, Unit 110",Colorado Springs,,2025-05-28,Clinic,,,,
433,Synergy HomeCare,"6270 Lehman Dr, #150",Colorado Springs,,2025-05-28,Home Care,,,,
434,DAV (Disabled American Veterans),4776 Eagleridge Cir,Pueblo,,—,,2025-05-29,Veterans,,,
435,Pueblo West Primary Care,141 S Purcell Blvd,Pueblo,,—,,2025-05-29,Clinic,,,
436,"[Nellie, P.A./Dr. Office]",3676 Parker Blvd,Pueblo,,Bring basket next time,2025-05-29,Clinic,,Nellie,,
437,[Physician Offices],3727 Parker Blvd,Pueblo,,—,,2025-05-29,Doctor Office,,,
438,Maxim Healthcare,3691 Parker Blvd,Pueblo,,—,,2025-05-29,Healthcare,,,
439,Life Care Center,2118 Chatalet Ln,Pueblo,,—,,2025-05-29,Care Center,,,
440,[Unknown],2611 Jones Ave,Pueblo,,—,,2025-05-29,,,,
441,[Closed / Relocated],201 E Adams Ave,Pueblo,,"Closed, new location?",2025-05-29,,Yes,,,
442,[Locked / No Answer],2420 Santa Fe Dr,Pueblo,,Left brochures,2025-05-29,,Yes,,,
443,[Locked / No Answer],724 E Fourth St,Pueblo,,Left brochures,2025-05-29,,Yes,,,
444,[Closed / Moved],1310 N Chester Ave,Pueblo,,Nothing here,2025-05-29,,Yes,,,
445,[Private Residence],921 W 13th St,Pueblo,,Not a stop. Remove,2025-05-29,,Remove,,,
446,Parkview Medical Center,400 W 16th St,Pueblo,,Will not accept brochures,2025-05-29,Hospital,No materials accepted,,,
447,Castillo Primary Care,1401 Anita St,Pueblo,,—,,2025-05-29,Clinic,,,,
448,VA Community Living Center,2600 Oakshire Ln,Pueblo,,Tammy & Brandon are key contacts,2025-05-29,VA,Meet Tammy & Brandon,Tammy & Brandon,,
449,[Unknown],1601 Constitution Rd,Pueblo,,—,,2025-05-29,,,,
450,[Unknown],945 Desertflower Blvd,Pueblo,,—,,2025-05-29,,,,
451,[Unknown],2400 Oakshire Ln,Pueblo,,—,,2025-05-29,,,,
452,American Legion Post 38,6685 Southmoor Dr,Fountain,,—,,2025-05-29,American Legion,,,,
453,[Medical Office],5725 Southmoor Dr,Fountain,,—,,2025-05-29,Clinic,,,,
454,[Medical Office],"1259 Lake Plaza Dr, Unit 100",Colorado Springs,—,,2025-05-29,Doctor Office,,,,
455,[Medical Office],"1160 Lake Plaza Dr, Ste 255",Colorado Springs,—,,2025-05-29,Doctor Office,,,,
456,[Medical Office],2550 Tenderfoot Hill St,Colorado Springs,—,,2025-05-29,Doctor Office,,,,
457,[Medical Office],835 Tenderfoot Hill Rd,Colorado Springs,—,,2025-05-29,Doctor Office,,,,
458,American Legion Post 5,15 E Platte Ave,Colorado Springs,—,,2025-05-29,American Legion,,,,
459,Colorado Springs Senior Center,207 N Nevada Ave,Colorado Springs,—,,2025-05-29,Senior Center,,,,
460,[Unknown],110 W Van Buren St,Colorado Springs,—,,2025-05-29,,,,
461,[Medical Office],3490 Centennial Blvd,Colorado Springs,—,,2025-05-29,Clinic,,,,
462,Private Residence or Unknown,3830 Bloomington St,Colorado Springs,,,,,,
463,Humana Neighborhood Center,"5225 N Academy Blvd, #106",Colorado Springs,,,,,,
464,Caring Senior Service,"6208 Lehman Dr, Unit 201",Colorado Springs,,,,,,
465,Enhabit Home Health & Hospice,"1155 Kelly Johnson Blvd, Ste 205",Colorado Springs,,,,,,
466,BrightStar Care,"5818 N Nevada Ave, Ste 225",Colorado Springs,,,,,,
467,Private Residence,5623 Pulpit Peak View,Colorado Springs,,,,,,
468,The Healthcare Resort of Colorado Springs,"910 Pinon Ranch View, Ste 100",Colorado Springs,,,,,,
469,Pikes Peak Hospice Foundation,"4775 Centennial Blvd, Unit 160",Colorado Springs,,,,,,
470,Brookdale Skyline or adjacent medical,3141 Centennial Blvd,Colorado Springs,,,,,,
471,Colorado Springs Cardiology / UCHealth affiliate,2222 N Nevada Ave,Colorado Springs,,,,,,
472,Alan R Simpson Veterans Home,1414 N Hancock Ave,Colorado Springs,,,,,,
473,Comfort Keepers or local care agency,"1120 N Circle Dr, Ste 7",Colorado Springs,,,,,,
474,Sangre de Cristo Community Health,2420 E Pikes Peak Ave,Colorado Springs,,,,,,
475,Advanced Health Care of Colorado Springs,55 S Parkside Dr,Colorado Springs,,,,,,
476,Life Care Center of Colorado Springs,2490 International Cir,Colorado Springs,,,,,,
477,Parkside Medical Plaza,325 S Parkside Dr,Colorado Springs,,,,,,
478,UCHealth Memorial Hospital Central,1400 E Boulder St,Colorado Springs,,,,,,
479,Professional Home Health Care,1140 S Eighth St,Colorado Springs,,,,,,
480,Life Care Center of Stonegate,15720 Garden Plaza Dr,Parker,,,,,,
481,Center At Lincoln,12230 Lioness Way,Parker,,,,,,
482,Wind Crest,3235 Mill Vista Rd,Littleton,,,,,,
483,Littleton Care And Rehabilitation Center,5822 S Lowell Way,Littleton,,,,,,
484,Hallmark Nursing Center,3701 W Radcliff Ave,Denver,,,,,,
485,Cherrelyn Healthcare Center,5555 S Elati St,Littleton,,,,,,
486,Colorado Rehabilitation & Occupational Medicine,"20 W Dry Creek Cir, Ste 310",Littleton,,,,,,
487,Encompass Health Rehab Hosp Of Littleton,1001 W Mineral Ave,Littleton,,,,,,
488,Life Care Centers of America,1500 W Mineral Ave,Littleton,,,,,,
489,,2750 Classic Dr,Highlands Ranch,,,,,,
490,VFW (Veterans of Foreign Wars),"6494 Silver Mesa Dr, Unit A",Littleton,,,,,,
491,Villas at Highland Park,8914 E Nichols Pl,Englewood,,,,,,
492,Reunion Rehab Hospital Inver,372 Inverness Dr S,Englewood,,,,,,
493,Suites Parker The,9398 Crown Crest Blvd,Parker,,,,,,
494,,Denver CO,Denver,,,,,,
495,,Greenwood Village CO,Greenwood Village,,,,,,
496,,1501 S Potomac St,Aurora,,,,,,
497,Surgical Consultants of Aurora,"1421 S Potomac St, Ste 220",Aurora,,,,,,
498,Optum Aurora Family Medicine Center,1421 Pontiac St,Denver,,,,,,
499,Rocky Mountain Spine Clinic,1411 S Potomac St,Aurora,,,,,,
500,Rowan Community Inc,4601 E Asbury Cir,Denver,,,,,,
501,Amberwood Post Acute,4686 E Asbury Cir,Denver,,,,,,
502,Brookshire House Rehabilitation And Care Community,4660 E Asbury Cir,Denver,,,,,,
503,Highline Post Acute,6060 E Iliff Ave,Denver,,,,,,
504,Holly Heights Care Center,6000 E Iliff Ave,Denver,,,,,,
505,Aspen Siesta,5353 E Yale Ave,Denver,,,,,,
506,Suites At Clermont Park Care Center,2480 S Clermont St,Denver,,,,,,
507,,4500 E Ninth Ave,Denver,,,,,,
508,Ninth Ave Internal Medicine,4500 E Ninth Ave,Denver,,,,,,
509,Ascent Family Practice,4500 E Ninth Ave,Denver,,,,,,
510,New West Physicians Internal Medicine,4500 E Ninth Ave,Denver,,,,,,
511,,"4500 E Ninth Ave, Ste 450",Denver,,,,,,
512,Colorado Family Medicine,4500 E Ninth Ave,Denver,,,,,,
513,,"4500 E Ninth Ave, Ste 560",Denver,,,,,,
514,,4500 E Ninth Ave,Denver,,,,,,
515,MedNow Clinics,4567 E Ninth Ave,Denver,,,,,,
516,Dollar Tree,2223 S Monaco St Pkwy,Denver,,,,,,
517,,4567 E Ninth Ave,Denver,,,,,,
518,,"4500 E Ninth Ave, Ste 560",Denver,,,,,,
519,,1400 Jackson St,Denver,,,,,,
520,,1667 St. Paul Street,Denver,,,,,,
521,Midtown Surgical Center,1919 E 18th Ave,Denver,,,,,,
522,,1920 N High St,Denver,,,,,,
523,,1375 E 19th Ave,Denver,,,,,,
524,,2201 N Downing St,Denver,,,,,,
525,,"1601 E 19th Ave, Ste 6000",Denver,,,,,,
526,,1440 Vine St,Denver,,,,,,
527,Rose Medical Center,"4567 E 9th Ave, Denver, CO 80220",Denver,Hospital,Yes,Yes,,,
528,Rose Medical Plaza II,"4700 E Hale Pkwy, Denver, CO 80220",Denver,Medical Office,Yes,No,,,
529,HealthONE Rose Women's Hospital,"4700 Hale Pkwy #500, Denver, CO 80220",Denver,Women's Health,Yes,No,,,
530,Rocky Mountain Cancer Centers,"4700 Hale Pkwy #400, Denver, CO 80220",Denver,Cancer Center,Yes,No,,,
531,Porter Hospice at Johnson Center,"5020 E Arapahoe Rd, Littleton, CO 80122",Littleton,Hospice,Yes,No,,,
532,Suites At Clermont Park Care Center,"2480 S Clermont St, Denver, CO 80222",Denver,SUCCESS,,,,,
533,South Valley Post Acute Rehabilitation,"4450 E Jewell Ave, Denver, CO 80222",Denver,SUCCESS,,,,,
534,Rowan Community Inc,"4601 E Asbury Cir, Denver, CO 80222",Denver,SUCCESS,,,,,
535,Amberwood Post Acute,"4686 E Asbury Cir, Denver, CO 80222",Denver,SUCCESS,,,,,
536,Brookshire House Rehabilitation And Care Community,"4660 E Asbury Cir, Denver, CO 80222",Denver,SUCCESS,,,,,
537,Highline Post Acute,"6060 E Iliff Ave, Denver, CO 80222",Denver,SUCCESS,,,,,
538,Holly Heights Care Center,"6000 E Iliff Ave, Denver, CO 80222",Denver,SUCCESS,,,,,
539,Aspen Siesta,"5353 E Yale Ave, Denver, CO 80222",Denver,SUCCESS,,,,,
540,Clermont Park Center,"2479 S Clermont St, Denver, CO 80222",Denver,SUCCESS,,,,,
541,Brookdale Mountain View,"4500 E Dartmouth Ave, Denver, CO 80222",Denver,SUCCESS,,,,,
542,Rosemark Senior Living,"4855 S Niagara St, Denver, CO 80237",Denver,SUCCESS,,,,,
543,Rose Medical Center,"4567 E Ninth Ave, Denver, CO 80220",Denver,SUCCESS,,,,,
544,National Jewish Health,"1400 Jackson St, Denver, CO 80206",Denver,SUCCESS,,,,,
545,Panorama Orthopedics & Spine Center,"4900 S Monaco St, Denver, CO 80237",Denver,SUCCESS,,,,,
546,Artesia Assisted Living Residence – Arkansas,"3105 W Arkansas Ave, Denver, CO 80219",Denver,SUCCESS,,,,,
547,Artesia Assisted Living Residence – Arkansas East,"3185 W Arkansas Ave, Denver, CO 80219",Denver,SUCCESS,,,,,
548,Garden Terrace Alzheimers Center of Excellence,"5110 Morrison Rd, Denver, CO 80219",Denver,SUCCESS,,,,,
549,Sloan's Lake Rehabilitation Center,"1601 Lowell Blvd, Denver, CO 80204",Denver,SUCCESS,,,,,
550,Denver Health – Outpatient Behavioral Health Services,"2201 N Downing St, Denver, CO 80205",Denver,SUCCESS,,,,,
551,St Joseph Hospital – Medical Offices Pavilion,"1601 E 19th Ave Ste 6000, Denver, CO 80218",Denver,SUCCESS,,,,,
552,HealthONE – Colorado Pulmonary Specialists,"301 S Harrison St, Denver, CO 80209",Denver,SUCCESS,,,,,
553,Monaco Park Health and Rehabilitation Center,"290 S Monaco St Pkwy, Denver, CO 80224",Denver,SUCCESS,,,,,
554,American Legion Post 1 – Lowry,"7465 E First Ave, Denver, CO 80230",Denver,SUCCESS,,,,,
555,Garden Terrace Care Center at Mississippi,"8101 E Mississippi Ave, Denver, CO 80247",Denver,SUCCESS,,,,,
556,Cherry Creek Nursing Center,"2440 S Wabash St, Denver, CO 80231",Denver,SUCCESS,,,,,
557,Garden Terrace Care Center at Roslyn,"2500 S Roslyn St, Denver, CO 80231",Denver,SUCCESS,,,,,
558,American Legion Post 1 – Yale,"5400 E Yale Ave, Denver, CO 80222",Denver,SUCCESS,,,,,
559,Woodland Hills Senior Living,"2500 S Roslyn St, Denver, CO 80231",Denver,SUCCESS,,,,,
560,Colorado Visiting Nurse Association,"1950 S Quebec St, Denver, CO 80231",Denver,SUCCESS,,,,,
561,Sandstone Care Recovery Center,"4650 Central Park Blvd, Denver, CO 80238",Denver,SUCCESS,,,,,
562,Denver Recovery Group,"1440 Vine St, Denver, CO 80206",Denver,SUCCESS,,,,,
563,Center at Lincoln,"1000 Lincoln St, Denver, CO 80203",Denver,SUCCESS,,,,,
564,Artesia Assisted Living – West Arkansas,"3105 W Arkansas Ave, Denver, CO 80219",Denver,SUCCESS,,,,,
565,Artesia Assisted Living – East Arkansas,"3185 W Arkansas Ave, Denver, CO 80219",Denver,SUCCESS,,,,,
566,Garden Terrace Alzheimer's Center of Excellence,"3701 W Radcliff Ave, Denver, CO 80236",Denver,SUCCESS,,,,,
567,Autumn Heights Health Care Center,"3131 S Federal Blvd, Denver, CO 80236",Denver,SUCCESS,,,,,
568,Bella Vita Senior Living,"2190 S Platte River Dr, Denver, CO 80223",Denver,SUCCESS,,,,,
569,University Hills Internal Medicine,"2100 S Josephine St, Denver, CO 80210",Denver,SUCCESS,,,,,
570,Highline Post Acute,"6060 E Iliff Ave, Denver, CO 80222",Denver,SUCCESS,,,,,
571,Holly Heights Care Center,"6000 E Iliff Ave, Denver, CO 80222",Denver,SUCCESS,,,,,
572,American Legion Post 1,"5400 E Yale Ave, Denver, CO 80222",Denver,SUCCESS,,,,,
573,Emergency Room,02 Amberwood Post,Colorado Springs,ETA 4:53 PM 6m 1.87 mi.,,,,,
574,Healthcare Facility,5631 E Cornell Ave,Colorado Springs,,,,,,
575,Emergency Room,2480 S Clermont St,Colorado Springs,,,,,,
576,Healthcare Facility,4450 E Jewell Ave,Colorado Springs,,,,,,
577,Healthcare Facility,6060 E Iliff Ave,Colorado Springs,,,,,,
578,Healthcare Facility,6000 E Iliff Ave,Colorado Springs,,,,,,
579,Healthcare Facility,5353 E Yale Ave,Colorado Springs,,,,,,
580,Healthcare Facility,1421 Pontiac St,Colorado Springs,SKIPPED,,,,,
581,Healthcare Facility,1411 S Potomac St,Colorado Springs,SKIPPED,,,,,
582,Emergency Room,5631 E Cornell Ave,Denver,"From: 5631 E Cornell Ave, Denver CO 80222, United States Departure Time: October 22, 2025 4:38 PM To: 5631 E Cornell Ave, Denver CO 80222, United States Arrive Time: October 22, 2025 5:12 PM Done Success Failed Travel Time Est. Distance",,,,,
